,YEAR_,AGENCY,CAUSE,C_METHOD,OBJECTIVE,DECADES
0,2020.0,2.0,11.0,1.0,1.0,44.94441010848846
1,2020.0,2.0,2.0,1.0,1.0,44.94441010848846
2,2020.0,2.0,14.0,1.0,1.0,44.94441010848846
3,2020.0,2.0,9.0,1.0,1.0,44.94441010848846
4,2020.0,2.0,18.0,1.0,1.0,44.94441010848846
5,2020.0,2.0,14.0,1.0,1.0,44.94441010848846
6,2020.0,5.0,14.0,1.0,1.0,44.94441010848846
7,2020.0,2.0,9.0,1.0,1.0,44.94441010848846
8,2020.0,2.0,5.0,1.0,1.0,44.94441010848846
9,2020.0,2.0,7.0,3.0,1.0,44.94441010848846
10,2020.0,2.0,8.0,1.0,1.0,44.94441010848846
11,2020.0,2.0,8.0,1.0,1.0,44.94441010848846
12,2020.0,2.0,5.0,1.0,1.0,44.94441010848846
13,2020.0,2.0,1.0,3.0,1.0,44.94441010848846
14,2020.0,5.0,11.0,1.0,1.0,44.94441010848846
15,2020.0,2.0,11.0,1.0,1.0,44.94441010848846
16,2020.0,2.0,14.0,1.0,1.0,44.94441010848846
17,2020.0,2.0,1.0,1.0,1.0,44.94441010848846
18,2020.0,2.0,1.0,1.0,1.0,44.94441010848846
19,2020.0,2.0,14.0,1.0,1.0,44.94441010848846
20,2020.0,2.0,7.0,7.0,1.0,44.94441010848846
21,2020.0,2.0,1.0,7.0,1.0,44.94441010848846
22,2020.0,2.0,9.0,7.0,1.0,44.94441010848846
23,2020.0,2.0,10.0,7.0,1.0,44.94441010848846
24,2020.0,2.0,1.0,4.0,1.0,44.94441010848846
25,2020.0,2.0,2.0,1.0,1.0,44.94441010848846
26,2020.0,2.0,4.0,2.0,1.0,44.94441010848846
27,2020.0,2.0,5.0,1.0,1.0,44.94441010848846
28,2020.0,2.0,2.0,1.0,1.0,44.94441010848846
29,2020.0,2.0,14.0,1.0,1.0,44.94441010848846
30,2020.0,2.0,18.0,2.0,1.0,44.94441010848846
31,2020.0,2.0,1.0,1.0,1.0,44.94441010848846
32,2020.0,2.0,1.0,1.0,1.0,44.94441010848846
33,2020.0,2.0,5.0,1.0,1.0,44.94441010848846
34,2020.0,2.0,5.0,1.0,1.0,44.94441010848846
35,2020.0,2.0,14.0,1.0,1.0,44.94441010848846
36,2020.0,2.0,14.0,1.0,1.0,44.94441010848846
37,2020.0,2.0,14.0,1.0,1.0,44.94441010848846
38,2020.0,3.0,14.0,1.0,1.0,44.94441010848846
39,2020.0,2.0,14.0,7.0,1.0,44.94441010848846
40,2020.0,2.0,14.0,7.0,1.0,44.94441010848846
41,2020.0,2.0,14.0,7.0,1.0,44.94441010848846
42,2020.0,2.0,14.0,1.0,1.0,44.94441010848846
43,2020.0,2.0,10.0,1.0,1.0,44.94441010848846
44,2020.0,2.0,2.0,1.0,1.0,44.94441010848846
45,2020.0,7.0,14.0,6.0,1.0,44.94441010848846
46,2020.0,2.0,14.0,1.0,1.0,44.94441010848846
47,2020.0,2.0,5.0,1.0,1.0,44.94441010848846
48,2020.0,2.0,2.0,1.0,1.0,44.94441010848846
49,2020.0,2.0,14.0,1.0,1.0,44.94441010848846
50,2020.0,2.0,10.0,1.0,1.0,44.94441010848846
51,2020.0,2.0,14.0,1.0,1.0,44.94441010848846
52,2020.0,2.0,1.0,1.0,1.0,44.94441010848846
53,2020.0,2.0,14.0,1.0,1.0,44.94441010848846
54,2020.0,2.0,5.0,1.0,1.0,44.94441010848846
55,2020.0,2.0,14.0,1.0,1.0,44.94441010848846
56,2020.0,2.0,9.0,1.0,1.0,44.94441010848846
57,2020.0,2.0,9.0,1.0,1.0,44.94441010848846
58,2020.0,2.0,9.0,2.0,1.0,44.94441010848846
59,2020.0,3.0,14.0,1.0,1.0,44.94441010848846
60,2020.0,3.0,14.0,1.0,1.0,44.94441010848846
61,2020.0,3.0,14.0,1.0,1.0,44.94441010848846
62,2020.0,3.0,14.0,1.0,1.0,44.94441010848846
63,2020.0,3.0,14.0,1.0,1.0,44.94441010848846
64,2020.0,3.0,14.0,1.0,1.0,44.94441010848846
65,2020.0,3.0,14.0,1.0,1.0,44.94441010848846
66,2020.0,1.0,1.0,1.0,1.0,44.94441010848846
67,2020.0,3.0,14.0,1.0,1.0,44.94441010848846
68,2020.0,3.0,14.0,1.0,1.0,44.94441010848846
69,2020.0,3.0,14.0,1.0,1.0,44.94441010848846
70,2020.0,3.0,14.0,1.0,1.0,44.94441010848846
71,2020.0,3.0,14.0,1.0,1.0,44.94441010848846
72,2020.0,3.0,14.0,1.0,1.0,44.94441010848846
73,2020.0,3.0,14.0,1.0,1.0,44.94441010848846
74,2020.0,3.0,14.0,1.0,1.0,44.94441010848846
75,2020.0,2.0,2.0,1.0,1.0,44.94441010848846
76,2020.0,2.0,11.0,1.0,1.0,44.94441010848846
77,2020.0,2.0,11.0,1.0,1.0,44.94441010848846
78,2020.0,2.0,11.0,1.0,1.0,44.94441010848846
79,2020.0,2.0,7.0,1.0,1.0,44.94441010848846
80,2020.0,2.0,2.0,1.0,1.0,44.94441010848846
81,2020.0,2.0,5.0,1.0,1.0,44.94441010848846
82,2020.0,2.0,7.0,1.0,1.0,44.94441010848846
83,2020.0,3.0,2.0,1.0,1.0,44.94441010848846
84,2020.0,3.0,1.0,1.0,1.0,44.94441010848846
85,2020.0,3.0,14.0,1.0,1.0,44.94441010848846
86,2020.0,3.0,2.0,1.0,1.0,44.94441010848846
87,2020.0,2.0,9.0,1.0,1.0,44.94441010848846
88,2020.0,2.0,5.0,1.0,1.0,44.94441010848846
89,2020.0,2.0,8.0,1.0,1.0,44.94441010848846
90,2020.0,2.0,9.0,1.0,1.0,44.94441010848846
91,2020.0,2.0,14.0,1.0,1.0,44.94441010848846
92,2020.0,3.0,11.0,1.0,1.0,44.94441010848846
93,2020.0,3.0,2.0,1.0,1.0,44.94441010848846
94,2020.0,3.0,11.0,1.0,1.0,44.94441010848846
95,2020.0,3.0,14.0,1.0,1.0,44.94441010848846
96,2020.0,3.0,9.0,1.0,1.0,44.94441010848846
97,2020.0,3.0,14.0,1.0,1.0,44.94441010848846
98,2020.0,3.0,7.0,1.0,1.0,44.94441010848846
99,2020.0,2.0,5.0,1.0,1.0,44.94441010848846
100,2020.0,2.0,10.0,6.0,1.0,44.94441010848846
101,2020.0,2.0,14.0,1.0,1.0,44.94441010848846
102,2020.0,2.0,2.0,1.0,1.0,44.94441010848846
103,2020.0,2.0,10.0,1.0,1.0,44.94441010848846
104,2020.0,2.0,2.0,1.0,1.0,44.94441010848846
105,2020.0,2.0,2.0,1.0,1.0,44.94441010848846
106,2020.0,2.0,2.0,1.0,1.0,44.94441010848846
107,2020.0,2.0,10.0,7.0,1.0,44.94441010848846
108,2020.0,2.0,1.0,1.0,1.0,44.94441010848846
109,2020.0,2.0,10.0,1.0,1.0,44.94441010848846
110,2020.0,2.0,2.0,1.0,1.0,44.94441010848846
111,2020.0,2.0,7.0,1.0,1.0,44.94441010848846
112,2020.0,2.0,14.0,1.0,1.0,44.94441010848846
113,2020.0,2.0,10.0,1.0,1.0,44.94441010848846
114,2020.0,2.0,11.0,6.0,1.0,44.94441010848846
115,2020.0,2.0,10.0,1.0,1.0,44.94441010848846
116,2020.0,2.0,1.0,1.0,1.0,44.94441010848846
117,2020.0,2.0,1.0,1.0,1.0,44.94441010848846
118,2020.0,2.0,2.0,1.0,1.0,44.94441010848846
119,2020.0,2.0,14.0,3.0,1.0,44.94441010848846
120,2020.0,2.0,9.0,1.0,1.0,44.94441010848846
121,2020.0,2.0,7.0,1.0,1.0,44.94441010848846
122,2020.0,2.0,15.0,1.0,1.0,44.94441010848846
123,2020.0,2.0,10.0,1.0,1.0,44.94441010848846
124,2020.0,2.0,9.0,1.0,1.0,44.94441010848846
125,2020.0,2.0,10.0,6.0,1.0,44.94441010848846
126,2020.0,2.0,11.0,1.0,1.0,44.94441010848846
127,2020.0,2.0,7.0,1.0,1.0,44.94441010848846
128,2020.0,2.0,2.0,1.0,1.0,44.94441010848846
129,2020.0,2.0,2.0,1.0,1.0,44.94441010848846
130,2020.0,2.0,10.0,1.0,1.0,44.94441010848846
131,2020.0,2.0,3.0,1.0,1.0,44.94441010848846
132,2020.0,2.0,9.0,1.0,1.0,44.94441010848846
133,2020.0,2.0,11.0,1.0,1.0,44.94441010848846
134,2020.0,2.0,7.0,1.0,1.0,44.94441010848846
135,2020.0,2.0,2.0,1.0,1.0,44.94441010848846
136,2020.0,2.0,9.0,1.0,1.0,44.94441010848846
137,2020.0,2.0,1.0,2.0,1.0,44.94441010848846
138,2020.0,2.0,2.0,1.0,1.0,44.94441010848846
139,2020.0,2.0,14.0,2.0,1.0,44.94441010848846
140,2020.0,2.0,11.0,1.0,1.0,44.94441010848846
141,2020.0,2.0,7.0,1.0,1.0,44.94441010848846
142,2020.0,2.0,11.0,1.0,1.0,44.94441010848846
143,2020.0,2.0,2.0,1.0,1.0,44.94441010848846
144,2020.0,2.0,1.0,1.0,1.0,44.94441010848846
145,2020.0,2.0,11.0,1.0,1.0,44.94441010848846
146,2020.0,2.0,3.0,1.0,1.0,44.94441010848846
147,2020.0,2.0,10.0,1.0,1.0,44.94441010848846
148,2020.0,2.0,5.0,1.0,1.0,44.94441010848846
149,2020.0,2.0,9.0,1.0,1.0,44.94441010848846
150,2020.0,2.0,2.0,1.0,1.0,44.94441010848846
151,2020.0,2.0,11.0,1.0,1.0,44.94441010848846
152,2020.0,2.0,14.0,1.0,1.0,44.94441010848846
153,2020.0,2.0,2.0,1.0,1.0,44.94441010848846
154,2020.0,2.0,10.0,7.0,1.0,44.94441010848846
155,2020.0,2.0,2.0,1.0,1.0,44.94441010848846
156,2020.0,2.0,8.0,1.0,1.0,44.94441010848846
157,2020.0,2.0,14.0,1.0,1.0,44.94441010848846
158,2020.0,2.0,14.0,1.0,1.0,44.94441010848846
159,2020.0,2.0,14.0,1.0,1.0,44.94441010848846
160,2020.0,2.0,11.0,1.0,1.0,44.94441010848846
161,2020.0,2.0,2.0,1.0,1.0,44.94441010848846
162,2020.0,2.0,11.0,1.0,1.0,44.94441010848846
163,2020.0,2.0,1.0,7.0,1.0,44.94441010848846
164,2020.0,2.0,11.0,1.0,1.0,44.94441010848846
165,2020.0,2.0,7.0,1.0,1.0,44.94441010848846
166,2020.0,2.0,11.0,1.0,1.0,44.94441010848846
167,2020.0,2.0,10.0,1.0,1.0,44.94441010848846
168,2020.0,2.0,4.0,1.0,1.0,44.94441010848846
169,2020.0,3.0,14.0,7.0,1.0,44.94441010848846
170,2020.0,3.0,14.0,7.0,1.0,44.94441010848846
171,2020.0,3.0,14.0,6.0,1.0,44.94441010848846
172,2020.0,3.0,14.0,7.0,1.0,44.94441010848846
173,2020.0,3.0,14.0,7.0,1.0,44.94441010848846
174,2020.0,2.0,1.0,2.0,1.0,44.94441010848846
175,2020.0,2.0,2.0,2.0,1.0,44.94441010848846
176,2020.0,2.0,8.0,2.0,1.0,44.94441010848846
177,2020.0,2.0,9.0,1.0,1.0,44.94441010848846
178,2020.0,2.0,14.0,1.0,1.0,44.94441010848846
179,2020.0,2.0,14.0,1.0,1.0,44.94441010848846
180,2020.0,2.0,14.0,1.0,1.0,44.94441010848846
181,2020.0,2.0,14.0,1.0,1.0,44.94441010848846
182,2020.0,2.0,14.0,2.0,1.0,44.94441010848846
183,2020.0,2.0,7.0,7.0,1.0,44.94441010848846
184,2020.0,2.0,14.0,1.0,1.0,44.94441010848846
185,2020.0,2.0,4.0,7.0,1.0,44.94441010848846
186,2020.0,2.0,8.0,1.0,1.0,44.94441010848846
187,2020.0,2.0,14.0,1.0,1.0,44.94441010848846
188,2020.0,2.0,14.0,7.0,1.0,44.94441010848846
189,2020.0,3.0,11.0,1.0,1.0,44.94441010848846
190,2020.0,3.0,9.0,1.0,1.0,44.94441010848846
191,2020.0,3.0,14.0,7.0,1.0,44.94441010848846
192,2020.0,3.0,14.0,1.0,1.0,44.94441010848846
193,2020.0,3.0,14.0,1.0,1.0,44.94441010848846
194,2020.0,3.0,14.0,1.0,1.0,44.94441010848846
195,2020.0,11.0,14.0,7.0,1.0,44.94441010848846
196,2020.0,3.0,10.0,1.0,1.0,44.94441010848846
197,2020.0,3.0,5.0,1.0,1.0,44.94441010848846
198,2020.0,3.0,14.0,1.0,1.0,44.94441010848846
199,2020.0,3.0,9.0,1.0,1.0,44.94441010848846
200,2020.0,3.0,7.0,7.0,1.0,44.94441010848846
201,2020.0,2.0,7.0,1.0,1.0,44.94441010848846
202,2020.0,2.0,10.0,6.0,1.0,44.94441010848846
203,2020.0,2.0,9.0,6.0,1.0,44.94441010848846
204,2020.0,2.0,14.0,1.0,1.0,44.94441010848846
205,2020.0,2.0,10.0,6.0,1.0,44.94441010848846
206,2020.0,2.0,10.0,6.0,1.0,44.94441010848846
